id,expiration_id,src_ip,src_mac,src_oui,src_port,dst_ip,dst_mac,dst_oui,dst_port,protocol,ip_version,vlan_id,tunnel_id,bidirectional_first_seen_ms,bidirectional_last_seen_ms,bidirectional_duration_ms,bidirectional_packets,bidirectional_bytes,src2dst_first_seen_ms,src2dst_last_seen_ms,src2dst_duration_ms,src2dst_packets,src2dst_bytes,dst2src_first_seen_ms,dst2src_last_seen_ms,dst2src_duration_ms,dst2src_packets,dst2src_bytes,bidirectional_min_ps,bidirectional_mean_ps,bidirectional_stddev_ps,bidirectional_max_ps,src2dst_min_ps,src2dst_mean_ps,src2dst_stddev_ps,src2dst_max_ps,dst2src_min_ps,dst2src_mean_ps,dst2src_stddev_ps,dst2src_max_ps,bidirectional_min_piat_ms,bidirectional_mean_piat_ms,bidirectional_stddev_piat_ms,bidirectional_max_piat_ms,src2dst_min_piat_ms,src2dst_mean_piat_ms,src2dst_stddev_piat_ms,src2dst_max_piat_ms,dst2src_min_piat_ms,dst2src_mean_piat_ms,dst2src_stddev_piat_ms,dst2src_max_piat_ms,bidirectional_syn_packets,bidirectional_cwr_packets,bidirectional_ece_packets,bidirectional_urg_packets,bidirectional_ack_packets,bidirectional_psh_packets,bidirectional_rst_packets,bidirectional_fin_packets,src2dst_syn_packets,src2dst_cwr_packets,src2dst_ece_packets,src2dst_urg_packets,src2dst_ack_packets,src2dst_psh_packets,src2dst_rst_packets,src2dst_fin_packets,dst2src_syn_packets,dst2src_cwr_packets,dst2src_ece_packets,dst2src_urg_packets,dst2src_ack_packets,dst2src_psh_packets,dst2src_rst_packets,dst2src_fin_packets,application_name,application_category_name,application_is_guessed,application_confidence,requested_server_name,client_fingerprint,server_fingerprint,user_agent,content_type,label
4355,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,52924,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773589344096,1773589344117,21,11,2206,1773589344096,1773589344117,21,7,1319,1773589344096,1773589344116,20,4,887,60,200.54545454545453,179.2915857681914,621,60,188.42857142857144,205.94647940897747,621,66,221.75,146.22442796377536,366,0,2.1,3.665151201974256,12,0,3.5,4.370354676682431,12,1,6.666666666666666,8.962886439832502,17,2,1,2,0,10,6,1,0,1,1,1,0,6,3,1,0,1,0,1,0,4,3,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
1635,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,60155,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773585387450,1773585387450,0,2,160,1773585387450,1773585387450,0,1,72,1773585387450,1773585387450,0,1,88,72,80.0,11.31370849898476,88,72,72.0,0.0,72,88,88.0,0.0,88,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,dc01.fyp.lab,,,,,0
10868,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,60321,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773596904179,1773596904179,0,2,204,1773596904179,1773596904179,0,1,78,1773596904179,1773596904179,0,1,126,78,102.0,33.94112549695428,126,78,78.0,0.0,78,126,126.0,0.0,126,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,_ldap._tcp.fyp.lab,,,,,0
12436,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,53268,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773599617079,1773599617079,0,2,239,1773599617079,1773599617079,0,1,90,1773599617079,1773599617079,0,1,149,90,119.5,41.71930009000631,149,90,90.0,0.0,90,149,149.0,0.0,149,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,_kerberos._tcp.fyp.lab.fyp.lab,,,,,0
6145,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,64393,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773591542051,1773591548811,6760,2,172,1773591542051,1773591542051,0,1,86,1773591548811,1773591548811,0,1,86,86,86.0,0.0,86,86,86.0,0.0,86,86,86.0,0.0,86,6760,6760.0,0.0,6760,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,10.56.168.192.in-addr.arpa,,,,,0
3259,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,52194,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773587941533,1773587952672,11139,6,546,1773587941533,1773587945548,4015,4,364,1773587949212,1773587952672,3460,2,182,91,91.0,0.0,91,91,91.0,0.0,91,91,91.0,0.0,91,1000,2227.8,1285.6182170457917,3664,1000,1338.3333333333333,573.0692221131173,2000,3460,3460.0,0.0,3460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.MICROSOFT,Network,0,6,settings-win.data.microsoft.com,,,,,0
297,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,65493,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773584473417,1773584483919,10502,6,462,1773584473417,1773584477428,4011,4,308,1773584480460,1773584483919,3459,2,154,77,77.0,0.0,77,77,77.0,0.0,77,77,77.0,0.0,77,995,2100.4,1131.7635795518424,3459,995,1337.0,575.127811881846,2001,3459,3459.0,0.0,3459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.WIKIPEDIA,Network,0,6,www.wikipedia.org,,,,,0
16979,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,62222,192.168.56.100,08:00:27:7a:a2:fc,08:00:27,445,6,4,0,0,1773604869684,1773604874713,5029,31,6153,1773604869684,1773604874713,5029,17,3748,1773604869684,1773604874712,5028,14,2405,60,198.48387096774192,289.08797634027627,1687,60,220.4705882352941,382.5612888229575,1687,60,171.78571428571428,106.4491056228848,366,0,167.63333333333335,906.6594039178348,4968,0,314.3125,1241.001193593302,4968,0,386.7692307692308,1384.0163868156906,4993,2,1,2,0,30,22,1,0,1,1,1,0,16,11,1,0,1,0,1,0,14,11,0,0,NETBIOS.SMBV23,System,0,6,,,,,,0
11799,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,57692,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773598789865,1773598789866,1,2,160,1773598789865,1773598789865,0,1,72,1773598789866,1773598789866,0,1,88,72,80.0,11.31370849898476,88,72,72.0,0.0,72,88,88.0,0.0,88,1,1.0,0.0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS,Network,0,6,svr1.fyp.lab,,,,,0
10803,0,192.168.56.200,08:00:27:ca:6f:1c,08:00:27,57885,192.168.56.10,08:00:27:b6:cd:2f,08:00:27,53,17,4,0,0,1773596863681,1773596872273,8592,6,546,1773596863681,1773596867724,4043,4,364,1773596867948,1773596872273,4325,2,182,91,91.0,0.0,91,91,91.0,0.0,91,91,91.0,0.0,91,224,1718.4,1589.6487976908609,4325,1012,1347.6666666666667,577.9310800894284,2015,4325,4325.0,0.0,4325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DNS.MICROSOFT,Network,0,6,settings-win.data.microsoft.com,,,,,0
